unicode
壙
壚
壞
壟
壠
壢
壩
壯
壺
壼
壽
夠
夢
夾
奐
奧
奩
奪
奮
奼
妝
姍
姦
娛
婁
婦
婭
媧
媯
媰
媼
媽
嫗
嫵
嫻
嫿
嬈
嬋
嬌
嬙
嬡
嬤
嬪
嬰
嬸
孋
孌
孫
學
孿
宮
寢
實
寧
審
寫
寬
寵
寶
將
專
尋
對
導
尷
屆
屍
屓
屜
屢
層
屨
屩
屬
岡
峴
島
峽
崍
崗
崢
崬
嵐
嵼
嶁
嶄
嶇
嶔
嶗
嶠
嶢
嶧
嶮
嶴
嶸
嶺
嶼
巋
巒
巔
巰
帥
師
帳
帶
幀
幃
幗
幘
幟
幣
幫
幬
幹
幺
幾
庫
廁
廂
廄
廈
廚
廝
廟
廠
廡
廢
廣
廩
廬
廳
弒
弳
張
強
彈
彌
彎
彙
彞
彥
彲
後
徑
從
徠
復
徵
徹
志
恆
恥
悅
悞
悵
悶
惡
惱
惲
惻
愛
愜
愨
愴
愷
愾
慄
態
慍
慘
慚
慟
慣
慪
慫
慮
慳
慶
憂
憊
憐
憑
憒
憚
憤
憫
憮
憲
憶
懀
懇
應
懌
懍
懟
懣
懨
懲
懶
懷
懸
懺
懼
懾
戀
戇
戔
戧
戩
戰
戱
戲
戶
拋
挩
挾
捨
捫
掃
掄
掆
掗
掙
掛
採
揀
揚
換
揮
損
搖
搗
搵
搶
摋
摑
摜
摟
摯
摳
摶
摻
撈
撏
撐
撓
撝
撟
撣
撥
撫
撲
撳
撻
撾
撿
擁
擄
擇
擊
擋
擓
擔
據
擠
擣
擬
擯
擰
擱
擲
擴
擷
擺
擻
擼
擽
擾
攄
攆
攏
攔
攖
攙
攛
攜
攝
攢
攣
攤
攪
攬
敗
敘
敵
數
斂
斃
斅
斆
斕
斬
斷
於
時
晉
晝
暈
暉
暘
暢
暫
曄
曆
曇
曉
曏
曖
曠
曥
曨
曬
書
會
朥
朧
東
杴
极
柵
桿
梔
梘
條
梟
梲
棄
棖
棗
棟
棡
棧
棲
棶
椏
椲
楊
楓
楨
業
極
榪
榮
榲
榿
構
槍
槤
槧
槨
槳
槶
樁
樂
樅
樓
標
樞
樢
樣
樫
樸
樹
樺
樿
橈
橋
機
橢
橫
檁
檉
檔
檜
檟
檢
檣
檭
檮
檯
檳
檸
檻
櫃
櫓
櫚
櫛
櫝
櫞
櫟
櫥
櫧
櫨
櫪
櫫
櫬
櫱
櫳
櫸
櫻
欄
權
欍
欏
欒
欓
欖
欞
欽
歐
歟
歡
歲
歷
歸
歿
殘
殞
殤
殨
殫
殮
殯
殰
殲
殺
殼
毀
毆
毿
氂
氈
氌
氣
氫
氬
氳
決
沒
沖
況
洶
浹
涇
涼
淚
淥
淪
淵
淶
淺
渙
減
渢
渦
測
渾
湊
湞
湯
溈
準
溝
溫
溳
滄
滅
滌
滎
滬
滯
滲
滸
滻
滾
滿
漁
漊
漚
漢
漣
漬
漲
漵
漸
漿
潁
潑
潔
潛
潤
潯
潰
潷
潿
澀
澅
澆
澇
澗
澠
澤
澦
澩
澮
澱
澾
濁
濃
濄
濆
濕
濘
濜
濟
濤
濧
濫
濰
濱
濺
濼
濾
瀂
瀃
瀅
瀆
瀇
瀉
瀋
瀏
瀕
瀘
瀝
瀟
瀠
瀦
瀧
瀨
瀰
瀲
瀾
灃
灄
灑
灕
灘
灙
灝
灠
灡
灣
灤
灧
災
為
烏
烴
無
煉
煒
煙
煢
煥
煩
煬
煱
熅
熉
熌
熒
熓
熗
熡
熱
熲
熾
燁
燈
燒
燙
燜
營
燦
燭
燴
燶
燼
燾
爄
爍
爐
爛
爭
爺
爾
牆
牘
牽
犖
犢
犧
狀
狹
狽
猙
猶
猻
獁
獄
獅
獎
獨
獪
獫
獮
獰
獱
獲
獵
獷
獸
獺
獻
獼
玀
玁
現
琺
琿
瑋
瑒
瑣
瑤
瑩
瑪
瑲
瑽
璉
璣
璦
璫
璯
環
璽
瓊
瓏
瓔
瓕
瓚
甌
產
畝
畢
畫
異
當
疇
疊
痙
痾
瘂
瘋
瘍
瘓
瘞
瘡
瘧
瘮
瘲
瘺
療
癆
癇
癉
癘
癟
癢
癤
癥
癧
癩
癬
癭
癮
癰
癱
癲
發
皚
皟
皰
皸
皺
盜
盞
盡
監
盤
盧
盪
眥
眾
睍
睏
睜
睞
瞘
瞜
瞞
瞤
瞶
瞼
矓
矚
矯
硜
硤
硨
硯
碙
碩
碭
碸
確
碼
碽
磑
磚
磠
磣
磧
磯
磽
礄
礆
礎
礒
礙
礦
礪
礫
礬
礱
祿
禍
禎
禕
禡
禦
禪
禮
禰
禱
禿
秈
稅
稈
稏
稟
種
稱
穀
穌
積
穎
穠
穡
穢
穩
穫
穭
窩
窪
窮
窯
窵
窶
窺
竄
竅
竇
竊
競
筆
筍
筧
筴
箋
箏
節
範
築
篋
篔
篘
篤
篩
篳
簀
簍
簞
簡
簣
簫
簹
簽
簾
籃
籋
籌
籔
籙
籛
籜
籟
籠
籩
籪
籬
籮
粵
糝
糞
糧
糲
糴
糶
糹
糾
紀
紂
約
紅
紆
紇
紈
紉
紋
納
紐
紓
純
紕
紖
紗
紘
紙
級
紛
紜
紝
紡
紬
細
紱
紲
紳
紵
紹
紺
紼
紿
絀
終
組
絅
絆
絎
結
絕
絛
絝
絞
絡
絢
給
絨
絰
統
絲
絳
絹
絺
綀
綁
綃
綆
綇
綈
綌
綏
綐
經
綜
綞
綠
綢
綣
綬
維
綯
綰
綱
網
綴
綵
綸
綹
綺
綻
綽
綾
綿
緄
緇
緊
緋
緍
緒
緓
緗
緘
緙
線
緝
緞
締
緡
緣
緦
編
緩
緬
緯
緰
緱
緲
練
緶
緷
緸
緹
緻
縈
縉
縊
縋
縎
縐
縑
縕
縗
縛
縝
縞
縟
縣
縫
縬
縭
縮
縱
縲
縳
縵
縶
縷
縹
縺
總
績
繃
繅
繆
繏
繒
繓
織
繕
繚
繞
繟
繡
繢
繩
繪
繫
繭
繯
繰
繳
繸
繹
繻
繼
繽
繾
繿
纁
纇
纈
纊
續
纍
纏
纓
纖
纘
纜
缽
罈
罌
罰
罵
罷
羅
羆
羈
羋
羥
義
習
翬
翹
翽
耬
耮
聖
聞
聯
聰
聲
聳
聵
聶
職
聹
聽
聾
肅
脅
脈
脛
脥
脫
脹
腎
腖
腡
腦
腪
腫
腳
腸
膃
膕
膚
膠
膢
膩
膽
膾
膿
臉
臍
臏
臗
臘
臚
臟
臠
臢
臨
臺
與
興
舉
舊
艙
艤
艦
艫
艱
艷
芻
苧
茲
荊
莊
莖
莢
莧
華
萇
萊
萬
萴
萵
葉
葒
著
葤
葦
葷
蒔
蒞
蒼
蓀
蓋
蓮
蓯
蓴
蓽
蔞
蔣
蔥
蔦
蔭
蕁
蕆
蕎
蕒
蕓
蕕
蕘
蕢
蕩
蕪
蕭
蕷
薀
薈
薊
薌
薔
薘
薟
薦
薩
薳
薴
薺
藍
藎
藝
藥
藪
藶
藹
藺
蘄
蘆
蘇
蘊
蘋
蘚
蘞
蘢
蘭
蘺
蘿
虆
處
虛
虜
號
虧
虯
蛺
蛻
蜆
蜡
蝕
蝟
蝦
蝸
螄
螞
螢
螮
螻
螿
蟄
蟈
蟎
蟣
蟬
蟯
蟲
蟶
蟻
蠁
蠅
蠆
蠐
蠑
蠟
蠣
蠨
蠱
蠶
蠻
術
衕
衚
衛
衝
袞
裊
補
裝
裡
製
複
褌
褘
褲
褳
褸
褻
襀
襉
襏
襖
襝
襠
襤
襪
襬
襯
襲
襴
覆
見
覎
規
覓
視
覘
覡
覥
覦
親
覬
覯
覲
覷
覺
覼
覽
覿
觀
觴
觶
觸
訁
訂
訃
計
訊
訌
討
訐
訑
訒
訓
訕
訖
託
記
訛
訝
訟
訢
訣
訥
訩
訪
設
許
訴
訶
診
註
詀
詁
詆
詎
詐
詑
詒
詔
評
詖
詗
詘
詛
詞
詠
詡
詢
詣
試
詩
詫
詬
詭
詮
詰
話
該
詳
詵
詼
詿
誄
誅
誆
誇
誌
認
誑
誒
誕
誘
誚
語
誠
誡
誣
誤
誥
誦
誨
說
誰
課
誶
誹
誼
誾
調
諂
諄
談
諉
請
諍
諏
諑
諒
論
諗
諛
諜
諝
諞
諢
諤
諦
諧
諫
諭
諮
諰
諱
諳
諶
諷
諸
諺
諼
諾
謀
謁
謂
謄
謅
謊
謎
謏
謐
謔
謖
謗
謙
謚
講
謝
謠
謨
謫
謬
謳
謹
謾
證
譊
譎
譏
譖
識
譙
譚
譜
譫
譯
議
譴
護
譸
譽
譾
讀
變
讋
讌
讎
讒
讓
讕
讖
讜
讞
豈
豎
豐
豬
豶
貓
貙
貝
貞
貟
負
財
貢
貧
貨
販
貪
貫
責
貯
貰
貲
貳
貴
貶
買
貸
貺
費
貼
貽
貿
賀
賁
賂
賃
賄
賅
資
賈
賊
賑
賒
賓
賕
賙
賚
賜
賞
賟
賠
賡
賢
賣
賤
賦
賧
質
賬
賭
賰
賴
賵
賺
賻
購
賽
賾
贃
贄
贅
贇
贈
贊
贍
贏
贐
贓
贔
贖
贗
贛
赬
趕
趙
趨
趲
跡
踐
踴
蹌
蹕
蹣
蹤
蹺
蹻
躂
躉
躊
躋
躍
躎
躑
躒
躓
躕
躚
躝
躡
躥
躦
躪
軀
軉
車
軋
軌
軍
軏
軑
軒
軔
軗
軛
軟
軤
軨
軫
軲
軸
軹
軺
軻
軼
軾
較
輄
輅
輇
輈
載
輊
輒
輓
輔
輕
輗
輛
輜
輝
輞
輟
輥
輦
輩
輪
輬
輮
輯
輳
輸
輻
輾
輿
轀
轂
轄
轅
轆
轉
轍
轎
轔
轟
轡
轢
轣
轤
辦
辭
辮
辯
農
逕
這
連
進
運
過
達
違
遙
遜
遞
遠
適
遲
遷
選
遺
遼
邁
還
邇
邊
邏
邐
郟
郵
鄆
鄉
鄒
鄔
鄖
鄧
鄭
鄰
鄲
鄴
鄶
鄺
酇
酈
醜
醞
醫
醬
醱
釀
釁
釃
釅
釋
釐
釒
釓
釔
釕
釗
釘
釙
針
釣
釤
釧
釩
釳
釵
釷
釹
釺
釾
鈀
鈁
鈃
鈄
鈇
鈈
鈉
鈋
鈍
鈐
鈑
鈒
鈔
鈕
鈞
鈠
鈣
鈥
鈦
鈧
鈮
鈯
鈰
鈲
鈳
鈴
鈷
鈸
鈹
鈺
鈽
鈾
鈿
鉀
鉁
鉅
鉈
鉉
鉋
鉍
鉑
鉕
鉗
鉚
鉛
鉞
鉤
鉦
鉬
鉭
鉶
鉸
鉺
鉻
鉿
銀
銃
銅
銍
銑
銓
銖
銘
銚
銛
銜
銠
銣
銥
銦
銨
銩
銪
銫
銬
銱
銳
銶
銷
銻
銼
鋁
鋃
鋅
鋇
鋉
鋌
鋏
鋒
鋙
鋝
鋟
鋣
鋤
鋥
鋦
鋨
鋩
鋪
鋮
鋯
鋰
鋱
鋶
鋸
鋼
錁
錂
錄
錆
錇
錈
錏
錐
錒
錕
錘
錙
錚
錛
錟
錠
錡
錢
錦
錨
錩
錫
錮
錯
錳
錶
錸
鍀
鍃
鍄
鍆
鍇
鍈
鍋
鍍
鍔
鍘
鍚
鍛
鍠
鍤
鍥
鍩
鍬
鍮
鍰
鍵
鍶
鍺
鍾
鎂
鎄
鎇
鎊
鎔
鎖
鎘
鎛
鎝
鎡
鎢
鎣
鎦
鎧
鎩
鎪
鎬
鎮
鎯
鎰
鎲
鎳
鎵
鎷
鎿
鏃
鏆
鏇
鏈
鏉
鏌
鏍
鏐
鏑
鏗
鏘
鏜
鏝
鏞
鏟
鏡
鏢
鏤
鏦
鏨
鏰
鏵
鏷
鏹
鏺
鏽
鐃
鐄
鐋
鐍
鐎
鐏
鐐
鐒
鐓
鐔
鐘
鐙
鐠
鐥
鐦
鐧
鐨
鐫
鐮
鐯
鐲
鐳
鐵
鐶
鐸
鐺
鐿
鑄
鑊
鑌
鑒
鑔
鑕
鑞
鑠
鑣
鑥
鑭
鑰
鑱
鑲
鑷
鑹
鑼
鑽
鑾
鑿
钁
長
門
閂
閃
閆
閈
閉
開
閌
閍
閎
閏
閐
閑
間
閔
閘
閡
閣
閥
閨
閩
閫
閬
閭
閱
閶
閹
閻
閼
閽
閾
閿
闃
闆
闈
闊
闋
闌
闍
闐
闒
闓
闔
闕
闖
關
闞
闠
闡
闤
闥
阪
陘
陝
陣
陰
陳
陸
陽
隉
隊
階
隕
際
隨
險
隱
隴
隸
隻
雋
雖
雙
雛
雜
雞
離
難
雲
電
霢
霧
霽
靂
靄
靈
靚
靜
靦
靨
鞀
鞏
鞝
鞽
韁
韃
韉
韋
韌
韍
韓
韙
韜
韞
韻
響
頁
頂
頃
項
順
頇
須
頊
頌
頎
頏
預
頑
頒
頓
頗
領
頜
頡
頤
頦
頭
頮
頰
頲
頴
頷
頸
頹
頻
顃
顆
題
額
顎
顏
顒
顓
願
顙
顛
類
顢
顥
顧
顫
顬
顯
顰
顱
顳
顴
風
颭
颮
颯
颰
颱
颳
颶
颷
颸
颺
颻
颼
颾
飀
飄
飆
飈
飛
飠
飢
飣
飥
飩
飪
飫
飭
飯
飲
飴
飼
飽
飾
飿
餃
餄
餅
餉
養
餌
餎
餏
餑
餒
餓
餔
餕
餖
餗
餘
餚
餛
餜
餞
餡
餦
館
餭
餱
餳
餶
餷
餸
餺
餼
餾
餿
饁
饃
饅
饈
饉
饊
饋
饌
饒
饗
饘
饜
饞
饢
馬
馭
馮
馱
馳
馴
馹
駁
駃
駎
駐
駑
駒
駔
駕
駘
駙
駚
駛
駝
駟
駢
駧
駩
駭
駰
駱
駶
駸
駻
駿
騁
騂
騃
騅
騌
騍
騎
騏
騔
騖
騙
騚
騝
騟
騠
騤
騧
騪
騫
騭
騮
騰
騶
騷
騸
騾
驀
驁
驂
驃
驄
驅
驊
驋
驌
驍
驏
驕
驗
驚
驛
驟
驢
驤
驥
驦
驪
驫
骯
髏
髒
體
髕
髖
髮
鬆
鬍
鬚
鬢
鬥
鬧
鬩
鬮
鬱
魎
魘
魚
魛
魟
魢
魥
魨
魯
魴
魷
魺
鮁
鮃
鮄
鮊
鮋
鮍
鮐
鮑
鮒
鮓
鮚
鮜
鮞
鮟
鮣
鮦
鮪
鮫
鮭
鮮
鮰
鮳
鮶
鮸
鮺
鯀
鯁
鯄
鯆
鯇
鯉
鯊
鯒
鯔
鯕
鯖
鯗
鯛
鯝
鯡
鯢
鯤
鯧
鯨
鯪
鯫
鯱
鯴
鯶
鯷
鯽
鯿
鰁
鰂
鰃
鰆
鰈
鰉
鰌
鰍
鰏
鰒
鰓
鰜
鰟
鰠
鰣
鰤
鰥
鰧
鰨
鰩
鰭
鰮
鰱
鰲
鰳
鰵
鰷
鰹
鰺
鰻
鰼
鰾
鱂
鱅
鱇
鱈
鱉
鱒
鱔
鱖
鱗
鱘
鱝
鱟
鱠
鱣
鱤
鱧
鱨
鱭
鱮
鱯
鱷
鱸
鱺
鳥
鳧
鳩
鳲
鳳
鳴
鳶
鳷
鳼
鳾
鴃
鴆
鴇
鴉
鴒
鴕
鴗
鴛
鴜
鴝
鴞
鴟
鴣
鴦
鴨
鴯
鴰
鴲
鴴
鴷
鴻
鴿
鵁
鵂
鵃
鵐
鵑
鵒
鵓
鵚
鵜
鵝
鵠
鵡
鵪
鵬
鵮
鵯
鵲
鵷
鵾
鶄
鶇
鶉
鶊
鶒
鶓
鶖
鶗
鶘
鶚
鶡
鶥
鶩
鶪
鶬
鶯
鶲
鶴
鶹
鶺
鶻
鶼
鶿
鷁
鷂
鷈
鷊
鷓
鷔
鷖
鷗
鷙
鷚
鷥
鷦
鷨
鷫
鷯
鷲
鷳
鷸
鷹
鷺
鷽
鷿
鸂
鸇
鸋
鸌
鸏
鸕
鸘
鸚
鸛
鸝
鸞
鹵
鹹
鹺
鹼
鹽
麗
麥
麨
麩
麲
麵
麼
麽
黃
黌
點
黨
黲
黶
黷
黽
黿
鼉
鼴
齊
齋
齎
齏
齒
齔
齕
齗
齙
齜
齟
齠
齡
齦
齪
齬
齲
齶
齷
龍
龎
龐
龑
龔
龕
龜
龭
龯
